itag,lmt,lmtdt
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
243,1454101777404229,2016-01-29 21:09:37.404229
251,1454089993768128,2016-01-29 17:53:13.768128
242,1454101693286140,2016-01-29 21:08:13.286140
251,1454089993768128,2016-01-29 17:53:13.768128
250,1454089995528810,2016-01-29 17:53:15.528810
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
278,1454101689089978,2016-01-29 21:08:09.089978
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
244,1454101749889990,2016-01-29 21:09:09.889990
244,1454101749889990,2016-01-29 21:09:09.889990
250,1454089995528810,2016-01-29 17:53:15.528810
244,1454101749889990,2016-01-29 21:09:09.889990
278,1454101689089978,2016-01-29 21:08:09.089978
250,1454089995528810,2016-01-29 17:53:15.528810
278,1454101689089978,2016-01-29 21:08:09.089978
250,1454089995528810,2016-01-29 17:53:15.528810
250,1454089995528810,2016-01-29 17:53:15.528810
278,1454101689089978,2016-01-29 21:08:09.089978
250,1454089995528810,2016-01-29 17:53:15.528810
278,1454101689089978,2016-01-29 21:08:09.089978
278,1454101689089978,2016-01-29 21:08:09.089978
250,1454089995528810,2016-01-29 17:53:15.528810
250,1454089995528810,2016-01-29 17:53:15.528810
278,1454101689089978,2016-01-29 21:08:09.089978
250,1454089995528810,2016-01-29 17:53:15.528810
278,1454101689089978,2016-01-29 21:08:09.089978
278,1454101689089978,2016-01-29 21:08:09.089978
250,1454089995528810,2016-01-29 17:53:15.528810
278,1454101689089978,2016-01-29 21:08:09.089978
250,1454089995528810,2016-01-29 17:53:15.528810
250,1454089995528810,2016-01-29 17:53:15.528810
278,1454101689089978,2016-01-29 21:08:09.089978
250,1454089995528810,2016-01-29 17:53:15.528810
278,1454101689089978,2016-01-29 21:08:09.089978
250,1454089995528810,2016-01-29 17:53:15.528810
242,1454101693286140,2016-01-29 21:08:13.286140
242,1454101693286140,2016-01-29 21:08:13.286140
242,1454101693286140,2016-01-29 21:08:13.286140
242,1454101693286140,2016-01-29 21:08:13.286140
242,1454101693286140,2016-01-29 21:08:13.286140
242,1454101693286140,2016-01-29 21:08:13.286140
242,1454101693286140,2016-01-29 21:08:13.286140
250,1454089995528810,2016-01-29 17:53:15.528810
242,1454101693286140,2016-01-29 21:08:13.286140
250,1454089995528810,2016-01-29 17:53:15.528810
250,1454089995528810,2016-01-29 17:53:15.528810
242,1454101693286140,2016-01-29 21:08:13.286140
250,1454089995528810,2016-01-29 17:53:15.528810
242,1454101693286140,2016-01-29 21:08:13.286140
250,1454089995528810,2016-01-29 17:53:15.528810
250,1454089995528810,2016-01-29 17:53:15.528810
243,1454101777404229,2016-01-29 21:09:37.404229
250,1454089995528810,2016-01-29 17:53:15.528810
251,1454089993768128,2016-01-29 17:53:13.768128
243,1454101777404229,2016-01-29 21:09:37.404229
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
243,1454101777404229,2016-01-29 21:09:37.404229
251,1454089993768128,2016-01-29 17:53:13.768128
243,1454101777404229,2016-01-29 21:09:37.404229
251,1454089993768128,2016-01-29 17:53:13.768128
243,1454101777404229,2016-01-29 21:09:37.404229
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
243,1454101777404229,2016-01-29 21:09:37.404229
243,1454101777404229,2016-01-29 21:09:37.404229
243,1454101777404229,2016-01-29 21:09:37.404229
243,1454101777404229,2016-01-29 21:09:37.404229
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
243,1454101777404229,2016-01-29 21:09:37.404229
243,1454101777404229,2016-01-29 21:09:37.404229
243,1454101777404229,2016-01-29 21:09:37.404229
243,1454101777404229,2016-01-29 21:09:37.404229
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
243,1454101777404229,2016-01-29 21:09:37.404229
251,1454089993768128,2016-01-29 17:53:13.768128
243,1454101777404229,2016-01-29 21:09:37.404229
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
243,1454101777404229,2016-01-29 21:09:37.404229
251,1454089993768128,2016-01-29 17:53:13.768128
243,1454101777404229,2016-01-29 21:09:37.404229
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
243,1454101777404229,2016-01-29 21:09:37.404229
251,1454089993768128,2016-01-29 17:53:13.768128
243,1454101777404229,2016-01-29 21:09:37.404229
243,1454101777404229,2016-01-29 21:09:37.404229
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
244,1454101749889990,2016-01-29 21:09:09.889990
244,1454101749889990,2016-01-29 21:09:09.889990
244,1454101749889990,2016-01-29 21:09:09.889990
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
278,1454101689089978,2016-01-29 21:08:09.089978
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
278,1454101689089978,2016-01-29 21:08:09.089978
251,1454089993768128,2016-01-29 17:53:13.768128
250,1454089995528810,2016-01-29 17:53:15.528810
278,1454101689089978,2016-01-29 21:08:09.089978
278,1454101689089978,2016-01-29 21:08:09.089978
278,1454101689089978,2016-01-29 21:08:09.089978
278,1454101689089978,2016-01-29 21:08:09.089978
278,1454101689089978,2016-01-29 21:08:09.089978
250,1454089995528810,2016-01-29 17:53:15.528810
278,1454101689089978,2016-01-29 21:08:09.089978
250,1454089995528810,2016-01-29 17:53:15.528810
278,1454101689089978,2016-01-29 21:08:09.089978
250,1454089995528810,2016-01-29 17:53:15.528810
278,1454101689089978,2016-01-29 21:08:09.089978
250,1454089995528810,2016-01-29 17:53:15.528810
278,1454101689089978,2016-01-29 21:08:09.089978
250,1454089995528810,2016-01-29 17:53:15.528810
278,1454101689089978,2016-01-29 21:08:09.089978
250,1454089995528810,2016-01-29 17:53:15.528810
278,1454101689089978,2016-01-29 21:08:09.089978
250,1454089995528810,2016-01-29 17:53:15.528810
278,1454101689089978,2016-01-29 21:08:09.089978
250,1454089995528810,2016-01-29 17:53:15.528810
250,1454089995528810,2016-01-29 17:53:15.528810
278,1454101689089978,2016-01-29 21:08:09.089978
250,1454089995528810,2016-01-29 17:53:15.528810
278,1454101689089978,2016-01-29 21:08:09.089978
278,1454101689089978,2016-01-29 21:08:09.089978
250,1454089995528810,2016-01-29 17:53:15.528810
250,1454089995528810,2016-01-29 17:53:15.528810
278,1454101689089978,2016-01-29 21:08:09.089978
250,1454089995528810,2016-01-29 17:53:15.528810
250,1454089995528810,2016-01-29 17:53:15.528810
278,1454101689089978,2016-01-29 21:08:09.089978
250,1454089995528810,2016-01-29 17:53:15.528810
278,1454101689089978,2016-01-29 21:08:09.089978
250,1454089995528810,2016-01-29 17:53:15.528810
242,1454101693286140,2016-01-29 21:08:13.286140
242,1454101693286140,2016-01-29 21:08:13.286140
242,1454101693286140,2016-01-29 21:08:13.286140
242,1454101693286140,2016-01-29 21:08:13.286140
242,1454101693286140,2016-01-29 21:08:13.286140
242,1454101693286140,2016-01-29 21:08:13.286140
242,1454101693286140,2016-01-29 21:08:13.286140
242,1454101693286140,2016-01-29 21:08:13.286140
242,1454101693286140,2016-01-29 21:08:13.286140
242,1454101693286140,2016-01-29 21:08:13.286140
251,1454089993768128,2016-01-29 17:53:13.768128
242,1454101693286140,2016-01-29 21:08:13.286140
251,1454089993768128,2016-01-29 17:53:13.768128
242,1454101693286140,2016-01-29 21:08:13.286140
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
242,1454101693286140,2016-01-29 21:08:13.286140
242,1454101693286140,2016-01-29 21:08:13.286140
251,1454089993768128,2016-01-29 17:53:13.768128
242,1454101693286140,2016-01-29 21:08:13.286140
243,1454101777404229,2016-01-29 21:09:37.404229
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
243,1454101777404229,2016-01-29 21:09:37.404229
251,1454089993768128,2016-01-29 17:53:13.768128
243,1454101777404229,2016-01-29 21:09:37.404229
244,1454101749889990,2016-01-29 21:09:09.889990
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
244,1454101749889990,2016-01-29 21:09:09.889990
244,1454101749889990,2016-01-29 21:09:09.889990
251,1454089993768128,2016-01-29 17:53:13.768128
244,1454101749889990,2016-01-29 21:09:09.889990
